%22888
0	3078	1
1	6419	1
1	3144	1
1	6420	1
1	3953	1
1	4022	1
1	6421	1
1	6422	1
1	5016	1
1	6062	1
2	3258	2
2	5001	1
3	3	10
3	7	8
3	11	3
3	99	22
3	108	1
3	188	2
3	228	11
3	312	1
3	405	12
3	6423	9
3	530	23
3	702	2
3	751	14
3	786	2
3	6424	7
3	942	10
3	950	30
3	961	11
3	976	45
3	1118	10
3	1167	2
3	1168	12
3	1182	2
3	1249	1
3	1285	6
3	1354	5
3	1365	9
3	1418	1
3	1474	29
3	1481	14
3	1528	9
3	1544	9
3	1607	6
3	1714	48
3	6425	9
3	1725	1
3	6426	9
3	1851	8
3	1894	9
3	2003	9
3	2184	2
3	2205	3
3	2225	12
3	2271	11
3	2403	15
3	2483	3
3	2581	17
3	2609	13
3	2611	10
3	2697	1
3	2714	9
3	2722	1
3	2736	9
3	2822	9
3	2884	9
3	2890	10
3	3091	5
3	3302	1
3	3375	5
3	3384	9
3	3443	8
3	3520	9
3	3593	1
3	3598	1
3	3668	4
3	3726	1
3	3766	1
3	6427	2
3	3927	8
3	4071	2
3	4135	1
3	4190	9
3	4212	9
3	4213	9
3	4245	2
3	4331	10
3	4348	1
3	4376	9
3	4588	2
3	4671	4
3	4789	15
3	4914	8
3	5035	5
3	5094	6
3	5111	4
3	5271	12
3	5275	1
3	5367	4
3	5427	10
3	5432	27
3	5449	5
3	5610	3
3	5638	4
3	5667	10
3	5712	9
3	5717	4
3	5740	9
3	5781	9
3	5802	6
3	5807	3
3	5873	1
3	5974	9
3	6007	27
3	6014	10
3	6428	3
3	6067	8
3	6136	2
3	6230	9
3	6277	1
3	6283	3
4	49	1
4	4265	1
4	5466	1
4	6168	1
5	6429	1
5	6430	1
5	3362	1
5	3756	1
5	5263	1
5	6043	1
6	6	7
6	6431	1
6	390	1
6	413	7
6	6432	7
6	511	7
6	564	1
6	614	7
6	6433	1
6	6434	7
6	759	1
6	6435	1
6	1022	1
6	1164	7
6	6436	1
6	1215	7
6	1242	11
6	1282	7
6	1401	5
6	1543	7
6	1586	10
6	6437	7
6	1721	6
6	1772	7
6	6438	1
6	1988	7
6	2074	7
6	6439	1
6	2363	3
6	2375	7
6	2480	7
6	2724	1
6	2797	7
6	2805	1
6	2816	1
6	2821	5
6	2897	7
6	2941	1
6	3036	7
6	3188	7
6	3213	1
6	6440	1
6	3271	7
6	3293	8
6	3362	7
6	3613	7
6	3758	7
6	4296	7
6	4777	7
6	4839	7
6	5046	7
6	5060	7
6	5118	7
6	5128	7
6	6441	1
6	6442	1
6	5172	8
6	5364	7
6	5512	7
6	5517	10
6	5616	7
6	5668	7
6	6443	1
6	5685	7
6	5690	1
6	6444	1
6	5727	11
6	5728	6
6	5806	1
6	5913	7
7	121	2
7	237	2
7	457	1
7	554	1
7	623	1
7	736	2
7	1018	3
7	1333	1
7	1563	1
7	1607	5
7	1718	7
7	1788	5
7	1909	1
7	2000	1
7	2074	1
7	2136	11
7	2358	33
7	2379	1
7	2417	11
7	2483	1
7	2612	4
7	2629	8
7	2673	1
7	2729	1
7	2821	3
7	2868	5
7	3091	17
7	3258	15
7	3590	1
7	3630	1
7	3726	6
7	3778	4
7	3930	4
7	3933	1
7	3943	20
7	4015	3
7	4096	2
7	4160	3
7	4265	1
7	6445	1
7	4624	2
7	4719	11
7	4918	7
7	4972	7
7	4973	1
